RANK,NAME,TEAM,POS,AGE,GP,MPG,USG,TO,FTA,FT,2PA,2PP,3PA,3PP,eFG,TS,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg,win
140,Kenyon Martin Jr.,Hou,F,22.3,82.0,28.0,16.4,11.2,222.0,0.68,504.0,0.679,216.0,0.315,0.617,0.635,12.7,5.5,1.5,0.5,0.4,1.1,18.2,14.2,19.7,6.7,125.5,116.5,0.268
141,Dennis Schroder,Lal,G,29.6,66.0,30.1,18.6,14.7,252.0,0.857,426.0,0.46,225.0,0.329,0.472,0.545,12.6,2.5,4.5,0.8,0.2,1.7,15.1,17.1,19.6,6.9,111.5,110.9,0.524
142,Nic Claxton,Bro,F-C,24.0,76.0,29.9,15.5,14.1,246.0,0.541,585.0,0.708,2.0,0.0,0.705,0.691,12.6,9.2,1.9,0.9,2.5,1.3,21.9,14.5,23.8,8.1,133.4,105.2,0.549
143,Mac McClung,Phi,G,24.3,2.0,20.6,27.4,12.9,5.0,0.6,9.0,0.556,11.0,0.364,0.55,0.563,12.5,5.0,4.5,0.0,0.0,1.5,17.5,17.0,22.0,12.7,119.3,109.9,0.659
144,Kelly Olynyk,Uta,F-C,32.0,68.0,28.6,17.8,23.2,232.0,0.853,321.0,0.576,235.0,0.396,0.584,0.644,12.5,6.2,3.7,0.9,0.5,2.5,18.6,16.2,22.3,9.2,117.6,106.1,0.451
145,Derrick White,Bos,G,28.8,82.0,28.3,17.7,11.1,192.0,0.875,367.0,0.548,391.0,0.381,0.56,0.604,12.4,3.6,3.9,0.7,0.9,1.2,16.0,16.3,19.9,7.9,124.5,107.8,0.695
146,Mason Plumlee,Cha,F-C,33.1,56.0,28.5,15.7,17.8,256.0,0.605,396.0,0.669,0.0,0.0,0.669,0.673,12.2,9.6,3.7,0.6,0.6,1.5,21.9,15.9,25.5,10.6,134.1,106.5,0.329
147,Keegan Murray,Sac,F,22.6,80.0,29.8,15.8,7.1,81.0,0.765,281.0,0.527,501.0,0.411,0.584,0.597,12.2,4.6,1.2,0.8,0.5,0.8,16.8,13.4,18.1,5.5,118.8,112.8,0.585
148,Jakob Poeltl,San,C,27.5,46.0,26.1,18.6,19.8,129.0,0.605,387.0,0.618,1.0,0.0,0.616,0.625,12.1,9.0,3.1,0.8,1.1,2.1,21.1,15.2,24.2,10.7,119.2,110.8,0.268
149,Jaden McDaniels,Min,F,22.5,79.0,30.6,15.8,13.5,144.0,0.736,447.0,0.588,270.0,0.396,0.591,0.611,12.1,3.9,1.9,0.9,1.0,1.4,15.9,13.9,17.8,5.9,115.3,107.6,0.512
150,Caris LeVert,Cle,G,28.6,74.0,30.3,18.7,13.5,180.0,0.722,418.0,0.462,324.0,0.392,0.517,0.546,12.1,3.8,3.9,1.0,0.3,1.6,15.9,16.0,19.8,7.4,111.6,106.7,0.622
151,Bones Hyland,Den,G,22.6,42.0,19.5,28.5,13.4,82.0,0.866,193.0,0.425,241.0,0.378,0.503,0.54,12.1,2.0,3.0,0.7,0.3,1.6,14.1,15.1,17.1,8.6,106.1,110.1,0.646
152,Thomas Bryant,Lal,C-F,25.7,41.0,21.3,18.2,8.5,108.0,0.741,251.0,0.697,50.0,0.44,0.691,0.712,12.1,6.8,0.7,0.3,0.6,0.7,18.9,12.8,19.6,7.3,138.3,105.3,0.524
153,Clint Capela,Atl,C,28.9,65.0,26.6,15.7,9.1,131.0,0.603,535.0,0.654,1.0,0.0,0.653,0.656,12.0,11.0,0.9,0.7,1.2,0.8,23.0,12.9,23.9,7.4,137.0,108.0,0.5
154,Marvin Bagley III,Det,F,24.1,42.0,23.6,20.5,10.7,108.0,0.75,317.0,0.577,66.0,0.288,0.552,0.585,12.0,6.4,0.9,0.5,0.7,1.1,18.4,12.9,19.3,7.0,117.3,112.7,0.207
155,Lonnie Walker IV,Lal,G-F,24.3,56.0,23.2,20.2,8.0,106.0,0.858,278.0,0.522,249.0,0.365,0.534,0.57,11.7,1.9,1.1,0.5,0.3,0.8,13.6,12.8,14.8,5.0,111.1,112.8,0.524
156,Zach Collins,San,F-C,25.4,63.0,22.9,21.2,19.0,142.0,0.761,401.0,0.571,147.0,0.374,0.568,0.599,11.6,6.4,2.9,0.6,0.8,2.0,18.0,14.5,20.8,10.5,112.4,107.4,0.268
157,Saddiq Bey,Atl,F,24.0,25.0,25.1,17.4,6.9,29.0,0.862,105.0,0.552,125.0,0.4,0.578,0.599,11.6,4.8,1.4,0.8,0.0,0.7,16.4,13.0,17.8,6.8,124.3,113.7,0.5
158,Max Strus,Mia,G-F,27.0,80.0,28.4,17.6,8.0,89.0,0.876,227.0,0.559,563.0,0.35,0.535,0.557,11.5,3.2,2.1,0.5,0.2,0.9,14.8,13.7,16.9,6.0,113.0,110.2,0.537
159,Marcus Smart,Bos,G,29.1,61.0,32.1,17.8,19.2,118.0,0.746,260.0,0.519,342.0,0.336,0.511,0.538,11.5,3.1,6.3,1.5,0.4,2.3,14.7,17.8,20.9,7.6,110.7,105.8,0.695
160,Josh Richardson,San,G,29.6,42.0,23.7,20.5,13.4,60.0,0.883,199.0,0.518,207.0,0.357,0.527,0.556,11.5,2.8,3.3,1.0,0.3,1.5,14.3,14.7,17.5,8.0,110.6,116.9,0.268
161,Naz Reid,Min,C-F,23.6,68.0,18.4,24.8,13.7,127.0,0.677,360.0,0.653,217.0,0.346,0.602,0.617,11.5,4.9,1.1,0.6,0.8,1.4,16.4,12.6,17.5,8.6,112.5,100.7,0.512
162,Bruce Brown,Den,G-F,26.7,80.0,28.5,17.8,14.2,153.0,0.758,487.0,0.548,254.0,0.358,0.545,0.571,11.5,4.1,3.4,1.1,0.6,1.5,15.6,14.9,19.0,7.6,113.2,108.9,0.646
163,John Wall,Lac,G,32.6,34.0,22.2,27.0,19.1,113.0,0.681,229.0,0.459,109.0,0.303,0.457,0.498,11.4,2.7,5.2,0.8,0.4,2.4,14.1,16.6,19.3,9.8,102.2,109.9,0.537
164,Isaiah Stewart,Det,F-C,21.9,50.0,28.3,17.3,13.4,149.0,0.738,236.0,0.542,205.0,0.327,0.518,0.56,11.3,8.1,1.4,0.4,0.7,1.4,19.4,12.7,20.8,7.1,113.7,110.9,0.207
