27,Donovan Mitchell,Cle,*,G,28.6,71,31.4,31,10.1,362,0.823,687,0.512,633,0.368,0.531,0.575,24,4.5,5,1.3,0.2,2.1,28.5,28.9,33.5,10.4,117.8,109.7
28,Zach LaVine,Chi,,G,30.1,42,34.1,26.6,14.6,182,0.797,405,0.56,305,0.446,0.607,0.637,24,4.8,4.5,0.9,0.2,2.9,28.8,28.5,33.3,9.4,115,116.3
29,Tyler Herro,Mia,*,G,25.2,75,35.6,27.9,12.6,319,0.875,681,0.564,660,0.374,0.563,0.603,23.8,5.2,5.5,0.9,0.2,2.6,29.1,29.4,34.6,9.9,116.3,113.8
30,Joel Embiid,Phi,*,C-F,31.1,19,30.2,34.3,16.4,169,0.882,238,0.492,77,0.299,0.481,0.58,23.8,8.2,4.5,0.7,0.9,3.3,31.9,28.3,36.4,12.7,113.8,112.4
31,Ja Morant,Mem,*,G,25.7,47,30.3,32,17.7,303,0.828,566,0.523,254,0.303,0.502,0.563,22.9,4.2,7.3,1.3,0.2,3.8,27,30.2,34.4,11.7,111.7,110.3
32,Quentin Grimes,Phi,*,G,24.9,26,33.8,27.6,14.8,123,0.748,226,0.571,201,0.393,0.58,0.61,22.6,4.9,4.5,1.5,0.4,2.8,27.5,27,31.9,9.4,114.6,115.1
33,Jaylen Brown,Bos,*,G-F,28.5,62,34.5,28.9,12.5,320,0.763,754,0.531,356,0.326,0.517,0.556,22.5,5.8,4.6,1.2,0.3,2.6,28.3,27,32.9,9.8,112.6,107.3
34,DeMar DeRozan,Sac,*,G-F,35.7,74,36,24.9,7.5,430,0.858,1008,0.519,246,0.337,0.516,0.576,22.5,3.9,4.4,0.8,0.4,1.4,26.4,26.9,30.8,8.1,121.1,116
35,James Harden,Lac,*,G,35.6,75,35,29.7,21,549,0.874,585,0.465,637,0.345,0.493,0.575,22.5,5.7,8.6,1.5,0.7,4.3,28.1,31.1,36.7,11.8,112.3,107.4
36,Jaren Jackson Jr.,Mem,*,F-C,25.6,71,29.7,28.5,11.3,388,0.776,800,0.543,369,0.377,0.55,0.592,22.3,5.8,2,1.2,1.6,2.1,28.1,24.4,30.1,8.6,114.8,104.6
37,Zach LaVine,Sac,*,G,30.1,29,36.5,23.5,14.8,95,0.874,254,0.575,205,0.444,0.615,0.647,22.3,3.8,3.6,0.7,0.1,2.8,26.1,25.9,29.7,7.4,116.2,116.9
38,Brandon Ingram,Nor,*,F,27.6,18,33.1,30.3,17.1,55,0.855,218,0.514,115,0.374,0.53,0.56,22.2,5.6,5.2,0.9,0.6,3.8,27.8,27.4,32.9,10.4,103.6,115.8
39,Norman Powell,Lac,*,G,31.9,57,32.2,26.4,10.2,253,0.81,490,0.541,412,0.42,0.581,0.619,22,3.2,2.1,1.2,0.2,1.8,25.2,24.1,27.3,6.6,117,109.4
40,Jalen Green,Hou,*,G,23.2,79,33.5,27.3,12.2,334,0.811,759,0.489,654,0.355,0.509,0.548,21.6,4.7,3.5,0.9,0.3,2.5,26.3,25.1,29.8,8.5,110.8,109.8
41,Jamal Murray,Den,*,G,28.1,65,36.3,23.9,10.8,238,0.887,704,0.52,389,0.396,0.546,0.587,21.6,3.8,6,1.4,0.5,2,25.5,27.7,31.5,8.7,119.6,115.3
42,Jalen Williams,Okc,*,G-F,24,67,32.3,27.4,11.6,290,0.786,794,0.529,330,0.367,0.535,0.572,21.4,5.3,5.2,1.6,0.7,2.2,26.7,26.5,31.9,10.4,115.3,104.5
43,RJ Barrett,Tor,*,F-G,24.8,57,32.5,28.7,14.5,311,0.63,672,0.524,299,0.348,0.523,0.547,21.3,6.4,5.5,0.8,0.3,2.9,27.7,26.8,33.2,11.2,107.3,111
44,Trey Murphy III,Nor,*,F,24.8,53,35,23.8,10.9,230,0.887,401,0.556,438,0.361,0.548,0.598,21.2,5.1,3.5,1.1,0.7,1.9,26.3,24.8,29.8,8.3,117.9,118
45,CJ McCollum,Nor,*,G,33.6,56,32.7,27.3,9.6,173,0.717,540,0.506,460,0.372,0.53,0.55,21.1,3.8,4.1,0.8,0.4,1.9,24.9,25.2,29,8.4,110.3,118.3
46,Brandon Miller,Cha,*,F,22.4,27,34.2,27.7,13.4,79,0.861,198,0.475,293,0.355,0.509,0.54,21,4.9,3.6,1.1,0.7,2.8,25.9,24.7,29.5,8.4,104,112.3
